site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Hangman_Hill,12,28,1505.139647,0.0583791208791209,0.58058562964916,0.00436291059319999,0.947066317859025,0.625154228868706,NA,0.809368260185468,0.597461782840672,0.739468296168369
Lytchett_Bay,12,17,1289.249991,0.0980392156862745,0.55138904080329,0.000434725494724235,0.917035985185016,0.612650720746416,0.72904069473227,0.767146474700172,0.574775111412638,0.710223110936309
Merthyr_Mawr,12,38,2056.535898,0.0472861842105263,0.54911172229296,0.00905476112531618,0.932712558451856,0.642266458477092,0.748079068897914,0.802453184269158,0.609043392239585,NA
Oxwich_Bay,12,33,2083.575898,0.0597870597870598,0.591182801439348,0.0772982146071136,0.939473731515697,0.635727690404194,NA,0.760279872726794,0.604212540721763,0.70911906069862
Woodland_Hill,12,19,1657.14501,0.0796992481203008,0.524404000356993,0.00115542158875845,0.87830613029146,0.615330895295414,0.740781566385724,0.790666515981815,0.569030631083906,0.731305882533791
Woolacombe,12,33,1739.021611,0.0484061393152302,0.58354092445091,0.0490985925539844,0.949611381670394,0.639936338528159,0.753644864071862,0.816872868030153,0.616420764655199,0.730206895668766
Arne,13,16,1361.645006,0.0896739130434783,0.515967652583818,1.42955090499038e-06,0.902669592926668,0.622599286422406,0.728414173337765,0.812418087445703,0.596249525252572,0.764602716917563
Bystock,13,40,2251.745904,0.0408536585365854,0.550076584482544,0.031431109455461,0.918655336645133,0.651775774868918,0.748473099739771,0.769749545987357,0.626504588654846,NA
Dolebury_Warren,13,40,2231.40465,0.0433734939759036,0.570468494067816,0.0945330664742362,0.93941134306708,0.643698457691315,NA,0.787180339176475,0.609172920460097,0.709312249720249
Haddon_Hill,13,12,1179.075018,0.102564102564103,0.519236270994239,0.000401734158384936,0.914053289311804,0.614294173248801,NA,0.839937425877001,0.598965816896856,0.776801734646757
Hangman_Hill,13,21,1275.925896,0.0790273556231003,0.60595526078477,0.0257480852526174,0.95033856085745,0.615845789392085,0.760195808314818,0.797237811869158,0.590594610514539,0.714513655830219
Lytchett_Bay,13,16,1453.415006,0.0904605263157895,0.576859352762849,0.00598468796644279,0.95251275401916,0.62326356268349,0.78714623239411,0.83205692376037,0.598806604391634,0.767795297718311
Merthyr_Mawr,13,33,1826.731737,0.0536445536445536,0.57609292937861,0.0207680561526845,0.950343011064924,0.635512123738964,0.771932355357052,0.803136248784408,0.613055495358829,0.727869297612711
Oxwich_Bay,13,32,1791.31965,0.0570833333333333,0.579806163369322,0.0678907476709848,0.940466259719969,0.636004953789363,0.751355087287132,0.785029646782505,0.601591283089649,NA
Woodland_Hill,13,18,1586.645005,0.0799457994579946,0.552562567246875,0.000925511379954392,0.935198916975089,0.631123034293338,0.762487559452198,0.804262249192558,0.599638148346781,NA
Woolacombe,13,31,1739.325895,0.0519713261648745,0.582602916936893,0.021219456897732,0.943916081816648,0.630446739307575,0.747813388085571,0.81543820421713,0.611142592111679,0.733581804343248
Arne,14,14,1432.075014,0.0943877551020408,0.515221206672835,1.9064675309006e-05,0.793691055077674,0.626001884666226,0.71601732600715,0.696805770713258,0.60237679606099,0.695941552039325
Bystock,14,43,2483.773402,0.0387596899224806,0.533342388495338,0.0509337403251777,0.930253685319316,0.649729750275369,0.744931963760574,0.787367228729035,0.624116869471948,0.704828096984274
Dolebury_Warren,14,41,2400.445486,0.0430038510911425,0.568416341895882,0.0992627146020831,0.960838329430537,0.640115058557444,0.755839216926603,0.782312342724144,0.610886284494901,0.716786976388537
Haddon_Hill,14,13,1159.545015,0.110367892976589,0.530495886234381,5.49389765034651e-05,0.870805366206313,0.610676034276813,0.736214776585488,0.789753303271688,0.57509764219351,0.730309089042293
Hangman_Hill,14,24,1482.969645,0.0697463768115942,0.578620312021256,0.015666826719783,0.954580956232857,0.618690206241821,0.766631919611869,0.827977774872548,0.595900873147128,0.749669451445499
Lytchett_Bay,14,17,1487.79584,0.0849673202614379,0.540878351209405,0.000516498012745684,0.942612801377514,0.617567906647274,0.759435381196981,0.806742041356765,0.588445277785698,0.758841862847559
Merthyr_Mawr,14,29,1495.865899,0.0600835945663532,0.584668685805661,0.00639866844095331,0.927300868161133,0.638280169815844,0.75606050286334,0.795420403334271,0.611865173681303,0.746486047193573
Oxwich_Bay,14,34,1731.185893,0.0540441176470588,0.584651364753283,0.0661776496245565,0.961264037431527,0.627474522070392,0.777125933841804,0.796199603205558,0.601098682629711,0.743577059005863
Woodland_Hill,14,13,1171.775012,0.0997920997920998,0.53029800383506,0.00296672257414183,0.842409532763833,0.637912854829119,0.763962943443448,0.756720054173588,0.612580566816079,0.737290406049834
Woolacombe,14,31,1736.021603,0.0580645161290323,0.595577665742505,0.0193067868663338,0.950680076065258,0.633706041139359,0.778969302016366,0.833681212338094,0.612202352880772,0.764631493815529
Arne,15,17,1488.545007,0.079696394686907,0.525923744406872,0.000196896027015711,0.908511886484578,0.630509206319886,0.728562521786149,0.846683974311488,0.613565276503443,NA
Bystock,15,44,2553.212147,0.0373376623376623,0.552108311194994,0.100514617082593,0.927914477130216,0.654549716812938,NA,0.763751632657853,0.625681065615578,0.708699532481893
Dolebury_Warren,15,38,2137.879646,0.048582995951417,0.585846213653913,0.0697967253691084,0.961929730334111,0.640222446297019,NA,0.77689272139871,0.598802395008619,0.740346003890771
Haddon_Hill,15,10,802.974988,0.125,0.55062348483086,4.51969068196758e-05,0.796800821197393,0.626285745425407,0.731119431459065,0.719066601089221,0.599119535486968,0.70848220181634
