"Site"	"Plant_Species"	"FU_Open"
"265"	"Chagford_Common"	"Galium_saxatile"	26651
"266"	"Chagford_Common"	"Grass"	0
"267"	"Chagford_Common"	"Hedera_helix"	0
"268"	"Chagford_Common"	"Hypericum_elodes"	0
"269"	"Chagford_Common"	"Narthecium_ossifragum"	0
"270"	"Chagford_Common"	"Pedicularis_palustris"	0
"271"	"Chagford_Common"	"Polygala_serpyllifolia"	4
"272"	"Chagford_Common"	"Potentilla_erecta"	50
"273"	"Chagford_Common"	"Rush"	0
"274"	"Chagford_Common"	"Sedge"	0
"275"	"Chagford_Common"	"Solidago_virgaurea"	0
"276"	"Chagford_Common"	"Sorbus_aucuparia"	0
"277"	"Chagford_Common"	"Ulex_europaeus"	114
"278"	"Chagford_Common"	"Vaccinium_myrtillus"	79
"279"	"Chagford_Common"	"Viola_canina"	0
"280"	"Chagford_Common"	"Viola_palustris"	0
"281"	"Chagford_Common"	NA	0
"282"	"Cloud_Hill"	"Calluna_vulgaris"	91
"283"	"Cloud_Hill"	"Cardamine_flexuosa"	8
"284"	"Cloud_Hill"	"Carex_nigra"	0
"285"	"Cloud_Hill"	"Corylus_avellana"	0
"286"	"Cloud_Hill"	"Dactylorhiza_fuchsii"	0
"287"	"Cloud_Hill"	"Dryopteris_sp."	0
"288"	"Cloud_Hill"	"Erica_cinerea"	2122
"289"	"Cloud_Hill"	"Erica_tetralix"	0
"290"	"Cloud_Hill"	"Galium_mollugo"	0
"291"	"Cloud_Hill"	"Grass"	0
"292"	"Cloud_Hill"	"Ilex_aquifolium"	0
"293"	"Cloud_Hill"	"Melampyrum_pratense"	78
"294"	"Cloud_Hill"	"Oxalis_acetosella"	0
"295"	"Cloud_Hill"	"Potentilla_erecta"	44
"296"	"Cloud_Hill"	"Quercus_petraea"	0
"297"	"Cloud_Hill"	"Quercus_robur"	0
"298"	"Cloud_Hill"	"Rhododendron_ponticum"	0
"299"	"Cloud_Hill"	"Rubus_fruiticosus"	0
"300"	"Cloud_Hill"	"Rubus_fruticosus"	0
"301"	"Cloud_Hill"	"Rumex_acetosa"	0
"302"	"Cloud_Hill"	"Sorbus_aucuparia"	0
"303"	"Cloud_Hill"	"Stellaria_sp."	0
"304"	"Cloud_Hill"	"Ulex_europaeus"	0
"305"	"Cloud_Hill"	"Vaccinium_myrtillus"	0
"306"	"Cloud_Hill"	NA	0
"307"	"Dartmoor_Scrub"	"Betula_pendula"	0
"308"	"Dartmoor_Scrub"	"Calluna_vulgaris"	48864
"309"	"Dartmoor_Scrub"	"Cuscuta_epithymum"	97
"310"	"Dartmoor_Scrub"	"Dryopteris_sp."	0
"311"	"Dartmoor_Scrub"	"Erica"	0
"312"	"Dartmoor_Scrub"	"Erica_cinerea"	10826
"313"	"Dartmoor_Scrub"	"Erica_tetralix"	48
"314"	"Dartmoor_Scrub"	"Euphrasia_nemorosa"	6
"315"	"Dartmoor_Scrub"	"Galium_saxatile"	0
"316"	"Dartmoor_Scrub"	"Grass"	0
"317"	"Dartmoor_Scrub"	"Ilex_aquifolium"	0
"318"	"Dartmoor_Scrub"	"Leontodon_hispidus"	0
"319"	"Dartmoor_Scrub"	"Polygala_serpyllifolia"	17
"320"	"Dartmoor_Scrub"	"Potentilla_erecta"	16
"321"	"Dartmoor_Scrub"	"Pteridium_sp."	0
"322"	"Dartmoor_Scrub"	"Rubus_fruiticosus"	0
"323"	"Dartmoor_Scrub"	"Rubus_fruticosus"	0
"324"	"Dartmoor_Scrub"	"Senecio_jacobaea"	0
