site,MDT,scenario,extthrs,flexthrs,meanrob,sdrob
Burnham-on-Sea,monad,least to most common,0.5,0.5,0.627100738946695,0.0499166170431278
Burnham-on-Sea,monad,random,0.5,0.5,0.598727365108758,0.0523447006090025
Burnham-on-Sea,monad,most to least common,0.5,1,0.691938854387521,0.0465077517181442
Burnham-on-Sea,monad,least to most common,0.5,1,0.789197905186382,0.0527122790288251
Burnham-on-Sea,monad,random,0.5,1,0.742877330563805,0.0615448754381767
Burnham-on-Sea,monad,most to least common,0.75,0,0.453735815100669,0.0383423762434906
Burnham-on-Sea,monad,least to most common,0.75,0,0.534833987260881,0.0406880763939555
Burnham-on-Sea,monad,random,0.75,0,0.500128433827252,0.0463475858759744
Burnham-on-Sea,monad,most to least common,0.75,0.25,0.473988784651723,0.0402447890906604
Burnham-on-Sea,monad,least to most common,0.75,0.25,0.556309746516413,0.0443109888013068
Burnham-on-Sea,monad,random,0.75,0.25,0.515036099253971,0.0522061900711348
Burnham-on-Sea,monad,most to least common,0.75,0.5,0.515530564208816,0.0488967064136778
Burnham-on-Sea,monad,least to most common,0.75,0.5,0.598718737461764,0.0525900808459235
Burnham-on-Sea,monad,random,0.75,0.5,0.55585238511285,0.0583941519309067
Burnham-on-Sea,monad,most to least common,0.75,1,0.651668368435892,0.0577049681495936
Burnham-on-Sea,monad,least to most common,0.75,1,0.744042541480139,0.061241361046069
Burnham-on-Sea,monad,random,0.75,1,0.691850795270124,0.073142278301794
Bystock,triad,most to least common,0.25,0,0.501221739670993,0.0309183865942606
Bystock,triad,least to most common,0.25,0,0.55529202696033,0.0297330712100657
Bystock,triad,random,0.25,0,0.531044373604916,0.0426311409579066
Bystock,triad,most to least common,0.25,0.25,0.539242202793525,0.0320665894717572
Bystock,triad,least to most common,0.25,0.25,0.594479902405004,0.0294431947503352
Bystock,triad,random,0.25,0.25,0.566559766549978,0.0391773294328462
Bystock,triad,most to least common,0.25,0.5,0.58776625198277,0.0270320689299553
Bystock,triad,least to most common,0.25,0.5,0.635539896245163,0.0246882999386638
Bystock,triad,random,0.25,0.5,0.60910535566099,0.0345871608181748
Bystock,triad,most to least common,0.25,1,0.681921104144713,0.0152902464763531
Bystock,triad,least to most common,0.25,1,0.715895544368421,0.0172442625996828
Bystock,triad,random,0.25,1,0.692907259605634,0.0199262506403788
Bystock,triad,most to least common,0.5,0,0.487712374118276,0.0302902978397812
Bystock,triad,least to most common,0.5,0,0.538567142598932,0.0278799966989145
Bystock,triad,random,0.5,0,0.510415593909446,0.0406034296128532
Bystock,triad,most to least common,0.5,0.25,0.515189658043156,0.0314425440591082
Bystock,triad,least to most common,0.5,0.25,0.572547253150721,0.0293659061280313
Bystock,triad,random,0.5,0.25,0.544544699517915,0.0402173683710791
Bystock,triad,most to least common,0.5,0.5,0.56213428334252,0.0281272532364334
Bystock,triad,least to most common,0.5,0.5,0.614518610397272,0.0266943418659239
Bystock,triad,random,0.5,0.5,0.586767726708316,0.0380736983087704
Bystock,triad,most to least common,0.5,1,0.670782992036469,0.0149457369706984
Bystock,triad,least to most common,0.5,1,0.705659895944346,0.0174004132705695
Bystock,triad,random,0.5,1,0.683871271054895,0.0215878111873661
Bystock,triad,most to least common,0.75,0,0.448420641635341,0.0317568307525676
Bystock,triad,least to most common,0.75,0,0.498596599615138,0.0324635917853849
Bystock,triad,random,0.75,0,0.47006146684924,0.0421298000812653
Bystock,triad,most to least common,0.75,0.25,0.466380663180635,0.0305236273608493
Bystock,triad,least to most common,0.75,0.25,0.521634916945014,0.0303453575371096
Bystock,triad,random,0.75,0.25,0.484458868430466,0.0405966800694953
Bystock,triad,most to least common,0.75,0.5,0.494629691970981,0.0300221511985193
Bystock,triad,least to most common,0.75,0.5,0.556607106485773,0.0281267532514943
Bystock,triad,random,0.75,0.5,0.520166160328782,0.0393994253283019
Bystock,triad,most to least common,0.75,1,0.623136614817117,0.0195547763398274
Bystock,triad,least to most common,0.75,1,0.673140187245932,0.0188102635820491
Bystock,triad,random,0.75,1,0.640030384952014,0.0239185188387558
Chagford_Common,dyad,most to least common,0.25,0,0.443674663580617,0.0719642867498443
Chagford_Common,dyad,least to most common,0.25,0,0.602469102756899,0.0731368020635847
Chagford_Common,dyad,random,0.25,0,0.517602307701008,0.108427026045513
Chagford_Common,dyad,most to least common,0.25,0.25,0.486397049514558,0.0624537862604664
Chagford_Common,dyad,least to most common,0.25,0.25,0.648107431183337,0.0613268505712472
Chagford_Common,dyad,random,0.25,0.25,0.578955658124111,0.0931972715521913
Chagford_Common,dyad,most to least common,0.25,0.5,0.534457228377542,0.0591230682884703
Chagford_Common,dyad,least to most common,0.25,0.5,0.696246267681165,0.0488374758722682
Chagford_Common,dyad,random,0.25,0.5,0.640304091976535,0.0752075877531222
Chagford_Common,dyad,most to least common,0.25,1,0.607703152310524,0.0579374936276097
Chagford_Common,dyad,least to most common,0.25,1,0.79722179189983,0.0135231562153384
Chagford_Common,dyad,random,0.25,1,0.756413550948333,0.0525805249942226
Chagford_Common,dyad,most to least common,0.5,0,0.439352837192224,0.067162317740275
Chagford_Common,dyad,least to most common,0.5,0,0.594350650352058,0.0749727034276012
Chagford_Common,dyad,random,0.5,0,0.517069214857039,0.116245379376718
Chagford_Common,dyad,most to least common,0.5,0.25,0.470768501050765,0.0666588595984789
Chagford_Common,dyad,least to most common,0.5,0.25,0.63017197514017,0.0678964143314912
Chagford_Common,dyad,random,0.5,0.25,0.563177933554576,0.101051854197667
Chagford_Common,dyad,most to least common,0.5,0.5,0.505773344773331,0.0594814168477987
Chagford_Common,dyad,least to most common,0.5,0.5,0.672842665232359,0.0564064249990977
Chagford_Common,dyad,random,0.5,0.5,0.605205168173664,0.0906046449198225
Chagford_Common,dyad,most to least common,0.5,1,0.593326985000675,0.0527199234287855
Chagford_Common,dyad,least to most common,0.5,1,0.77998808666577,0.020016351408501
Chagford_Common,dyad,random,0.5,1,0.728797287156132,0.0550169371552832
Chagford_Common,dyad,most to least common,0.75,0,0.412287899822466,0.0714866482410911
Chagford_Common,dyad,least to most common,0.75,0,0.561739500901449,0.0754155435783712
Chagford_Common,dyad,random,0.75,0,0.483429482973724,0.113517624771592
