Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Lophosceles_cinereiventris	1	1	1	0	1
Lotophila_atra	3	3	6	4.28660705	0.5
Lucilia_ampullacea	1	1	1	0	1
Lucilia_caesar	1	1	1	0	1
Lucilia_sericata	5	5	15	10.04158022	0.333333333
Lydella_grisescens	1	1	1	0	1
Machimus_atricapillus	1	1	1	0	1
Malthodes_minimus	1	1	1	0	1
Maniola_jurtina	41	18	22.66666667	4.483225412	0.794117647
Megachile_leachella	5	5	15	10.04158022	0.333333333
Megachili_willughbiella	1	1	1	0	1
Megaselia_sp.	2	2	3	2.041241452	0.666666667
Melanargia_galathea	17	4	4	0.433012702	1
Melanostoma_mellinum	73	20	31.25	9.531977431	0.64
Melanostoma_scalare	39	13	22.33333333	8.820821474	0.582089552
Melanostoma_sp.	6	5	8	4.088856808	0.625
Melanum_laterale	1	1	1	0	1
Melieria_cana	1	1	1	0	1
Meligethes_sp.	218	10	11.5	2.560146056	0.869565217
Meligethes_sp._A	175	24	25	1.577973384	0.96
Meligethes_sp._B	1	1	1	0	1
Melinda_viridicyanea	4	4	10	6.971370023	0.4
Meliscaeva_auricollis	8	5	11	7.012974988	0.454545455
Meliscaeva_cinctella	6	3	3	0.204124145	1
Melitta_tricincta	1	1	1	0	1
Meredon_equestris	1	1	1	0	1
Meromyza_depressa	1	1	1	0	1
Meromyza_sp.	4	3	3.5	1.235631707	0.857142857
Microcercis_trigonella	10	4	4.5	1.25	0.888888889
Micropterix_calthella	5	2	2	0.353553391	1
Minettia_fasciata	3	3	6	4.28660705	0.5
Minettia_sp.	1	1	1	0	1
Miridae_sp.	2	2	3	2.041241452	0.666666667
Morellia_hortorum	7	4	7	4.342481187	0.571428571
Musca_autumnalis	9	2	2	0	1
Myathropa_florea	1	1	1	0	1
Myrmica_ruginodis	14	5	6	2.198484326	0.833333333
Myrmica_sabuleti	3	2	2	0.176776695	1
Myrmica_sp.	1	1	1	0	1
Nemotelus_notatus	6	6	21	13.45627841	0.285714286
Neoascia_obliquae	1	1	1	0	1
Neoascia_podagrica	1	1	1	0	1
Neomyia_cornicina	14	7	7.25	0.727666766	0.965517241
Neomyia_viridescens	8	6	8	2.848001248	0.75
Nomada_fabriciana	1	1	1	0	1
Nomada_flavoguttata	1	1	1	0	1
Norelliosoma_lituratum	1	1	1	0	1
Ochlodes_sylvanus	2	2	3	2.041241452	0.666666667
Ochlodes_venata	1	1	1	0	1
Ocydromia_glabricula	1	1	1	0	1
Oedemera_lurida	57	13	13.2	0.618090902	0.984848485
Oedemera_nobilis	46	19	37.33333333	15.03609432	0.508928571
Olibrus_sp.	16	2	2	0.353553391	1
Opacifrons_coxata	1	1	1	0	1
Ophiomyia_pulicaria	1	1	1	0	1
Opomyza_florum	2	2	3	2.041241452	0.666666667
Opomyza_germinationis	2	1	1	0	1
Opomyza_petrei	2	2	3	2.041241452	0.666666667
Orthotylinae_sp.	2	1	1	0	1
Oscinella_frit	11	10	28	16.03254224	0.357142857
Oscinella_maura	1	1	1	0	1
Oscinella_pusilla	1	1	1	0	1
Oscinella_sp.	1	1	1	0	1
Oscinimorpha_albisetosa	27	2	2	0.353553391	1
Oscinimorpha_arcuata	1	1	1	0	1
Oscinimorpha_minutissima	3	2	2	0.176776695	1
Oscinimorpha_sordissima	1	1	1	0	1
Osmia_aurulenta	11	4	4	0.433012702	1
Osmia_bicolor	4	1	1	0	1
Osmia_bicornis	1	1	1	0	1
Osmia_leaiana	1	1	1	0	1
Osmia_sp.	1	1	1	0	1
Osmia_spinulosa	1	1	1	0	1
Oxybelus_uniglumis	2	2	3	2.041241452	0.666666667
P1	2	2	3	2.041241452	0.666666667
Panurgus_banksianus	1	1	1	0	1
Paracrocera_orbiculus	1	1	1	0	1
